filename,interval_start_date,local_path
S2_Mosaic_2021-05-03.tif,2021-05-03,raw_images_local/S2_Mosaic_2021-05-03.tif
S2_Mosaic_2021-05-17.tif,2021-05-17,raw_images_local/S2_Mosaic_2021-05-17.tif
S2_Mosaic_2021-06-14.tif,2021-06-14,raw_images_local/S2_Mosaic_2021-06-14.tif
S2_Mosaic_2021-06-28.tif,2021-06-28,raw_images_local/S2_Mosaic_2021-06-28.tif
S2_Mosaic_2021-07-12.tif,2021-07-12,raw_images_local/S2_Mosaic_2021-07-12.tif
S2_Mosaic_2021-07-26.tif,2021-07-26,raw_images_local/S2_Mosaic_2021-07-26.tif
S2_Mosaic_2021-08-09.tif,2021-08-09,raw_images_local/S2_Mosaic_2021-08-09.tif
S2_Mosaic_2021-08-23.tif,2021-08-23,raw_images_local/S2_Mosaic_2021-08-23.tif
S2_Mosaic_2021-09-06.tif,2021-09-06,raw_images_local/S2_Mosaic_2021-09-06.tif
S2_Mosaic_2021-09-20.tif,2021-09-20,raw_images_local/S2_Mosaic_2021-09-20.tif
S2_Mosaic_2021-10-04.tif,2021-10-04,raw_images_local/S2_Mosaic_2021-10-04.tif
S2_Mosaic_2021-10-18.tif,2021-10-18,raw_images_local/S2_Mosaic_2021-10-18.tif
S2_Mosaic_2021-11-01.tif,2021-11-01,raw_images_local/S2_Mosaic_2021-11-01.tif
S2_Mosaic_2021-11-15.tif,2021-11-15,raw_images_local/S2_Mosaic_2021-11-15.tif
S2_Mosaic_2021-12-13.tif,2021-12-13,raw_images_local/S2_Mosaic_2021-12-13.tif
S2_Mosaic_2021-12-27.tif,2021-12-27,raw_images_local/S2_Mosaic_2021-12-27.tif
S2_Mosaic_2022-01-24.tif,2022-01-24,raw_images_local/S2_Mosaic_2022-01-24.tif
S2_Mosaic_2022-02-07.tif,2022-02-07,raw_images_local/S2_Mosaic_2022-02-07.tif
S2_Mosaic_2022-02-21.tif,2022-02-21,raw_images_local/S2_Mosaic_2022-02-21.tif
S2_Mosaic_2022-03-21.tif,2022-03-21,raw_images_local/S2_Mosaic_2022-03-21.tif
S2_Mosaic_2022-04-04.tif,2022-04-04,raw_images_local/S2_Mosaic_2022-04-04.tif
S2_Mosaic_2022-04-18.tif,2022-04-18,raw_images_local/S2_Mosaic_2022-04-18.tif
S2_Mosaic_2022-05-02.tif,2022-05-02,raw_images_local/S2_Mosaic_2022-05-02.tif
S2_Mosaic_2022-05-16.tif,2022-05-16,raw_images_local/S2_Mosaic_2022-05-16.tif
S2_Mosaic_2022-05-30.tif,2022-05-30,raw_images_local/S2_Mosaic_2022-05-30.tif
S2_Mosaic_2022-06-13.tif,2022-06-13,raw_images_local/S2_Mosaic_2022-06-13.tif
S2_Mosaic_2022-06-27.tif,2022-06-27,raw_images_local/S2_Mosaic_2022-06-27.tif
S2_Mosaic_2022-07-11.tif,2022-07-11,raw_images_local/S2_Mosaic_2022-07-11.tif
S2_Mosaic_2022-07-25.tif,2022-07-25,raw_images_local/S2_Mosaic_2022-07-25.tif
S2_Mosaic_2022-08-08.tif,2022-08-08,raw_images_local/S2_Mosaic_2022-08-08.tif
S2_Mosaic_2022-08-22.tif,2022-08-22,raw_images_local/S2_Mosaic_2022-08-22.tif
S2_Mosaic_2022-09-05.tif,2022-09-05,raw_images_local/S2_Mosaic_2022-09-05.tif
S2_Mosaic_2022-09-19.tif,2022-09-19,raw_images_local/S2_Mosaic_2022-09-19.tif
S2_Mosaic_2022-10-03.tif,2022-10-03,raw_images_local/S2_Mosaic_2022-10-03.tif
S2_Mosaic_2022-10-17.tif,2022-10-17,raw_images_local/S2_Mosaic_2022-10-17.tif
S2_Mosaic_2022-10-31.tif,2022-10-31,raw_images_local/S2_Mosaic_2022-10-31.tif
S2_Mosaic_2022-11-28.tif,2022-11-28,raw_images_local/S2_Mosaic_2022-11-28.tif
S2_Mosaic_2022-12-12.tif,2022-12-12,raw_images_local/S2_Mosaic_2022-12-12.tif
S2_Mosaic_2022-12-26.tif,2022-12-26,raw_images_local/S2_Mosaic_2022-12-26.tif
S2_Mosaic_2023-01-09.tif,2023-01-09,raw_images_local/S2_Mosaic_2023-01-09.tif
S2_Mosaic_2023-01-23.tif,2023-01-23,raw_images_local/S2_Mosaic_2023-01-23.tif
S2_Mosaic_2023-02-06.tif,2023-02-06,raw_images_local/S2_Mosaic_2023-02-06.tif
S2_Mosaic_2023-02-20.tif,2023-02-20,raw_images_local/S2_Mosaic_2023-02-20.tif
S2_Mosaic_2023-03-06.tif,2023-03-06,raw_images_local/S2_Mosaic_2023-03-06.tif
S2_Mosaic_2023-04-03.tif,2023-04-03,raw_images_local/S2_Mosaic_2023-04-03.tif
S2_Mosaic_2023-04-17.tif,2023-04-17,raw_images_local/S2_Mosaic_2023-04-17.tif
S2_Mosaic_2023-05-01.tif,2023-05-01,raw_images_local/S2_Mosaic_2023-05-01.tif
S2_Mosaic_2023-05-15.tif,2023-05-15,raw_images_local/S2_Mosaic_2023-05-15.tif
S2_Mosaic_2023-05-29.tif,2023-05-29,raw_images_local/S2_Mosaic_2023-05-29.tif
S2_Mosaic_2023-06-12.tif,2023-06-12,raw_images_local/S2_Mosaic_2023-06-12.tif
S2_Mosaic_2023-06-26.tif,2023-06-26,raw_images_local/S2_Mosaic_2023-06-26.tif
S2_Mosaic_2023-07-10.tif,2023-07-10,raw_images_local/S2_Mosaic_2023-07-10.tif
S2_Mosaic_2023-07-24.tif,2023-07-24,raw_images_local/S2_Mosaic_2023-07-24.tif
S2_Mosaic_2023-08-07.tif,2023-08-07,raw_images_local/S2_Mosaic_2023-08-07.tif
S2_Mosaic_2023-08-21.tif,2023-08-21,raw_images_local/S2_Mosaic_2023-08-21.tif
S2_Mosaic_2023-09-04.tif,2023-09-04,raw_images_local/S2_Mosaic_2023-09-04.tif
S2_Mosaic_2023-09-18.tif,2023-09-18,raw_images_local/S2_Mosaic_2023-09-18.tif
S2_Mosaic_2023-10-02.tif,2023-10-02,raw_images_local/S2_Mosaic_2023-10-02.tif
S2_Mosaic_2023-10-16.tif,2023-10-16,raw_images_local/S2_Mosaic_2023-10-16.tif
S2_Mosaic_2023-10-30.tif,2023-10-30,raw_images_local/S2_Mosaic_2023-10-30.tif
S2_Mosaic_2023-11-13.tif,2023-11-13,raw_images_local/S2_Mosaic_2023-11-13.tif
S2_Mosaic_2023-11-27.tif,2023-11-27,raw_images_local/S2_Mosaic_2023-11-27.tif
S2_Mosaic_2023-12-25.tif,2023-12-25,raw_images_local/S2_Mosaic_2023-12-25.tif
S2_Mosaic_2024-01-08.tif,2024-01-08,raw_images_local/S2_Mosaic_2024-01-08.tif
S2_Mosaic_2024-03-18.tif,2024-03-18,raw_images_local/S2_Mosaic_2024-03-18.tif
S2_Mosaic_2024-04-01.tif,2024-04-01,raw_images_local/S2_Mosaic_2024-04-01.tif
S2_Mosaic_2024-04-15.tif,2024-04-15,raw_images_local/S2_Mosaic_2024-04-15.tif
S2_Mosaic_2024-04-29.tif,2024-04-29,raw_images_local/S2_Mosaic_2024-04-29.tif
S2_Mosaic_2024-05-13.tif,2024-05-13,raw_images_local/S2_Mosaic_2024-05-13.tif
S2_Mosaic_2024-05-27.tif,2024-05-27,raw_images_local/S2_Mosaic_2024-05-27.tif
S2_Mosaic_2024-06-10.tif,2024-06-10,raw_images_local/S2_Mosaic_2024-06-10.tif
S2_Mosaic_2024-06-24.tif,2024-06-24,raw_images_local/S2_Mosaic_2024-06-24.tif
S2_Mosaic_2024-07-08.tif,2024-07-08,raw_images_local/S2_Mosaic_2024-07-08.tif
S2_Mosaic_2024-07-22.tif,2024-07-22,raw_images_local/S2_Mosaic_2024-07-22.tif
S2_Mosaic_2024-08-05.tif,2024-08-05,raw_images_local/S2_Mosaic_2024-08-05.tif
S2_Mosaic_2024-08-19.tif,2024-08-19,raw_images_local/S2_Mosaic_2024-08-19.tif
S2_Mosaic_2024-09-02.tif,2024-09-02,raw_images_local/S2_Mosaic_2024-09-02.tif
S2_Mosaic_2024-09-16.tif,2024-09-16,raw_images_local/S2_Mosaic_2024-09-16.tif
S2_Mosaic_2024-09-30.tif,2024-09-30,raw_images_local/S2_Mosaic_2024-09-30.tif
S2_Mosaic_2024-10-14.tif,2024-10-14,raw_images_local/S2_Mosaic_2024-10-14.tif
S2_Mosaic_2024-11-11.tif,2024-11-11,raw_images_local/S2_Mosaic_2024-11-11.tif
S2_Mosaic_2024-11-25.tif,2024-11-25,raw_images_local/S2_Mosaic_2024-11-25.tif
S2_Mosaic_2024-12-09.tif,2024-12-09,raw_images_local/S2_Mosaic_2024-12-09.tif
S2_Mosaic_2024-12-23.tif,2024-12-23,raw_images_local/S2_Mosaic_2024-12-23.tif
